CTUID,pop,land_kmsq,single_det,edu_total,no_edu,edu_dip,edu_postsec,pop_dens,jour_work,jour_lessfifteen,jour_fiftotwnine,journ_thirtytofourfour,journ_fourfivetofifnine,journ_overhour,household_size,avg_num_room,avg_num_household,house_cond,house_reg_maint,house_maj_maint,income_after_tax_median,unemp_rate,emp_rate
5370000,747545,1371.89,165060,612635,109090,170595,332950,544.9,342520,78050,125305,66410,30720,42030,293345,6.5,2.5,293345,274975,18370,32073,60.2,6.6
5370001.01,2193,5.52,475,1735,355,535,845,397.6,955,215,380,165,80,115,765,7.3,2.9,760,725,35,30240,58.9,4.2
5370001.02,5302,1.29,970,4235,840,1265,2135,4102.4,2640,525,1020,540,235,315,1760,7,3,1755,1690,70,31040,65.3,6.9
5370001.04,6305,1.7,1320,4990,935,1260,2795,3702.5,2910,660,1265,510,205,270,1895,7.5,3.3,1900,1845,50,31163,61.4,5.4
5370001.05,5344,1.55,1085,4020,770,1130,2125,3443.7,2250,530,920,390,165,245,1620,7,3.2,1605,1565,45,29594,58.9,8.7
5370001.06,5191,1.48,1230,4265,685,1270,2310,3511,2545,655,995,495,170,220,1610,7.9,3.1,1605,1550,60,31543,62.5,7
5370001.07,3725,0.76,425,2910,695,940,1280,4922.7,1585,280,695,305,105,200,1265,6.7,2.9,1270,1190,85,27768,56,5.5
5370001.08,6556,1.64,1540,5335,1120,1600,2610,4001.5,3240,700,1400,430,275,430,2050,7.3,3.2,2050,2015,35,30768,63.9,6.5
5370001.09,4566,1.97,880,3565,865,900,1795,2318,2155,415,895,415,135,285,1390,6.9,3.3,1390,1365,25,30702,62.7,6.3
5370002.01,5122,1.48,1180,4125,735,1130,2255,3450.3,2520,615,1035,335,225,305,1615,7.3,3.2,1625,1555,65,33056,64.3,5.4
5370002.03,3069,0.77,550,2485,510,755,1225,3979,1345,290,580,175,140,160,1080,7.3,2.8,1055,955,95,29952,57.2,11
5370002.04,4629,0.98,1005,3920,740,1150,2035,4706.2,2240,430,950,415,130,315,1540,7.3,3,1575,1495,75,30592,59.7,8.8
5370002.05,7625,1.96,1710,5990,975,1630,3380,3882.4,3600,760,1525,545,320,440,2310,7.5,3.2,2325,2275,55,33778,64.1,6.1
5370002.06,3544,2.67,655,2940,575,775,1590,1329.4,1365,340,555,270,65,140,1405,6.6,2.4,1390,1375,15,31795,49.8,7.9
5370003.01,5224,1.22,810,4090,770,1125,2190,4292.9,2090,405,975,305,195,205,1975,6.4,2.5,1965,1870,95,32384,53.8,6.6
5370003.02,3494,0.87,360,2760,420,770,1575,4013.8,1410,305,570,250,155,130,1315,6.4,2.5,1310,1245,65,29811,53.8,9.2
5370003.03,3264,0.73,650,2510,595,660,1255,4446.9,1240,225,560,195,90,170,1100,7.2,3,1075,990,90,27424,52.4,12.4
5370003.04,5832,1.74,1105,4820,1070,1390,2365,3346.1,2480,580,965,485,200,245,2245,6.4,2.6,2270,2100,165,27008,53.1,9.4
5370004.01,3243,0.98,700,2845,790,810,1240,3308.8,1340,335,490,230,115,175,1365,6,2.4,1415,1260,155,26860,48.2,13.1
5370004.02,4189,1,645,3385,875,1030,1470,4189,1755,410,715,290,150,190,1675,6,2.5,1635,1515,115,27223,53.6,7.2
5370005.01,6111,1.85,1395,5070,1280,1715,2075,3302.9,2585,640,945,530,185,280,2335,6.3,2.5,2340,2150,185,26981,53.4,6.9
5370005.02,3893,0.95,775,3090,755,1035,1295,4107.4,1625,395,675,310,100,140,1415,6.8,2.7,1410,1290,120,28352,54.6,8.4
5370005.03,4003,0.94,905,3365,870,1000,1505,4255.8,1630,395,695,280,130,125,1515,6.7,2.6,1540,1465,70,29040,50.1,7.9
5370006,4699,2.2,1370,4135,885,1330,1915,2132.5,2370,430,935,565,170,270,2065,6.1,2.3,2045,1880,165,30663,60.3,7.1
5370007,3382,0.86,1055,3055,775,885,1390,3943.1,1515,310,630,275,140,155,1585,5.7,2.1,1590,1490,105,27814,52.1,7.6
5370008,2533,0.8,705,1895,445,530,915,3156.4,985,260,450,125,50,105,1100,5.8,2.1,1090,1005,85,30285,53.8,6.4
5370009,3601,0.86,890,3045,865,985,1200,4170.7,1520,300,630,305,115,175,1410,6.4,2.6,1420,1340,85,25325,51.7,9
5370010,3132,0.91,980,2635,560,930,1140,3459.6,1485,340,535,310,150,145,1360,6.1,2.3,1345,1290,60,29760,57.3,4.7
5370011,2262,0.85,850,1940,450,495,995,2647.8,1060,230,420,205,95,115,925,6.7,2.4,925,870,60,30848,55.3,7.3
5370012,1524,0.43,385,1335,190,605,545,3565.7,710,190,245,160,60,55,625,6,2.4,585,545,40,22362,55.4,14.5
5370013,2818,1.55,1015,2415,425,675,1315,1822.2,1350,310,550,220,105,165,1070,7.4,2.6,1060,995,60,34208,59.2,5.6
5370014,2707,1.18,1020,2235,360,515,1360,2293.9,1145,240,515,225,60,105,1040,7.7,2.6,1025,945,80,35769,54.6,4.7
5370015,1782,0.62,580,1400,285,380,730,2879.8,640,155,240,100,65,75,750,6.3,2.2,750,730,25,33744,47.9,3.6
5370016,506,0.46,120,375,30,70,270,1104.1,220,50,95,40,0,30,170,7.5,2.8,180,180,0,47488,58.7,4.3
5370017,3459,2.64,930,2850,250,460,2135,1310.7,1785,660,660,190,115,160,1345,7.5,2.6,1380,1285,95,47765,71.2,4.2
5370018,120,0.38,,,,,,319.7,,,,,,,,,,,,,,,
5370019,3932,1.2,1140,3370,425,1070,1870,3283,1825,475,655,350,120,225,1685,6.4,2.3,1730,1595,130,29011,57.3,6.7
5370020,3959,1.09,1465,3340,465,1130,1745,3638.8,2095,405,935,370,145,240,1715,6.3,2.3,1720,1590,130,32400,65.6,5.8
5370021,4441,1.05,1415,3840,860,1295,1680,4223.5,2190,470,850,440,195,225,1990,5.9,2.2,1985,1775,210,30304,59.6,8.2
5370022,4706,0.92,1250,4145,890,1275,1980,5113.5,2280,510,865,390,235,275,2360,5.4,2,2370,2220,155,29120,57.1,6.5
5370023,2248,0.83,860,1930,375,605,950,2705.8,1130,250,460,205,115,105,950,6.9,2.4,935,875,65,34176,60.6,5.6
5370024,2500,0.8,565,2170,425,620,1120,3116.4,1160,295,480,190,105,90,1090,6.2,2.3,1115,1075,40,31792,58,8.4
5370025,2817,2.26,1015,2430,500,715,1210,1244,1400,335,595,245,115,115,1140,7.1,2.5,1120,1060,65,33815,59.5,6.7
5370026.01,3397,0.95,655,2900,800,995,1105,3583,1415,265,585,285,135,150,1660,5.3,2,1640,1510,130,27099,50.7,7.3
5370026.02,1819,0.62,325,1535,490,505,540,2935.3,645,175,280,100,45,40,890,5.2,1.9,910,860,50,25451,42.5,5.1
5370026.03,2056,0.97,605,1815,450,480,885,2121.3,975,220,405,170,65,115,720,7.9,2.9,715,695,20,31923,55.6,6
5370026.04,1534,1,440,1475,270,425,775,1540.6,725,140,335,110,75,65,625,7.8,2.5,635,615,15,33072,53.4,10.3
5370026.05,4100,2.74,640,3345,940,980,1430,1493.7,1560,325,740,225,100,170,1685,6.3,2.4,1705,1545,160,29383,47.8,9.6
5370026.06,5436,1.17,235,4410,1000,1570,1835,4647.7,2400,425,980,500,250,245,2060,5.9,2.6,2060,1880,185,26799,57.5,9.6
5370027,1080,0.55,375,945,205,300,440,1976.6,565,165,200,125,25,45,485,6.3,2.2,490,460,30,29120,63,4.8
5370028,2712,0.72,885,2365,575,700,1095,3760.9,1305,320,495,270,105,115,1250,6.1,2.2,1220,1105,120,29811,56.8,7.6
5370029,4350,1.01,1210,3775,960,1295,1515,4293.8,2130,520,905,355,180,165,2000,5.8,2.1,2025,1790,230,29458,58.1,9.5
5370030,4062,1.05,1460,3365,605,1035,1725,3874.8,2035,480,810,335,235,180,1660,7,2.5,1630,1505,125,34141,63.6,8.4
5370031,2070,0.96,590,1780,395,570,815,2166.6,1005,300,340,165,50,145,840,7.1,2.4,840,745,90,30857,60.6,10.8
5370032,3180,0.74,535,2550,670,710,1170,4270.7,1300,335,415,275,145,135,1470,5.4,2.1,1470,1330,135,24418,53.8,12.7
